REF_DATE,GEO,Population centre and rural areas,Class of worker,North American Industry Classification System (NAICS),VALUE
Aug-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],21
Sep-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],20.2
May-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],12.9
Jun-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],13.4
Jul-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],13.7
Aug-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],11.7
Sep-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],8.8
Oct-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],11.1
Nov-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],11.7
Dec-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],9.7
Jan-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],8.9
Feb-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],8.1
Mar-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],7.4
Apr-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],10.3
May-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],11.1
Jun-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],10.9
Jul-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],12.4
Aug-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],10.4
Sep-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],12.6
Oct-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],10.2
Nov-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],9.1
Dec-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],9.8
Jan-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],9.3
Feb-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],8.3
Mar-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],8
Apr-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],11.1
May-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],11.1
Jun-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],11.9
Jul-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],13
Aug-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],11.2
Sep-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],9.1
Oct-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],7.3
Nov-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],8.4
Dec-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],8.4
Jan-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],7.4
Feb-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],6.6
Mar-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],7
Apr-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],9.5
May-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],12.8
Jun-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],13.6
Jul-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],12.8
Aug-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],11.4
Sep-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],10.8
Oct-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],10.2
Nov-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],8.8
Dec-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],7.9
Jan-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],8.1
Feb-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],7.6
Mar-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],8
Apr-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],11.1
May-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],10.3
Jun-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],12.2
Jul-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],11.5
Aug-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],10.5
Sep-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],9
May-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Wholesale and retail trade [41, 44-45]",37.2
Jun-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Wholesale and retail trade [41, 44-45]",38.7
Jul-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Wholesale and retail trade [41, 44-45]",39.5
Aug-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Wholesale and retail trade [41, 44-45]",38
Sep-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Wholesale and retail trade [41, 44-45]",38.8
Oct-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Wholesale and retail trade [41, 44-45]",39.4
Nov-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Wholesale and retail trade [41, 44-45]",40.9
Dec-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Wholesale and retail trade [41, 44-45]",39.9
Jan-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Wholesale and retail trade [41, 44-45]",37.5
Feb-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Wholesale and retail trade [41, 44-45]",38.2
Mar-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Wholesale and retail trade [41, 44-45]",37.4
Apr-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Wholesale and retail trade [41, 44-45]",38.7
